Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Months,Sales,Ville,Hour,Grouped
278806,Bose SoundSport Headphones,1.0,99.99,11/19/19 19:12,"174 2nd St, Boston, MA 02215",11,99.99, Boston,19,"Bose SoundSport Headphones,ThinkPad Laptop"
278811,Wired Headphones,1.0,11.99,11/06/19 16:01,"99 Elm St, San Francisco, CA 94016",11,11.99, San Francisco,16,"Wired Headphones,Apple Airpods Headphones"
278819,iPhone,1.0,700.0,11/04/19 06:20,"880 Maple St, New York City, NY 10001",11,700.0, New York City,6,"iPhone,Apple Airpods Headphones"
278833,iPhone,1.0,700.0,11/04/19 10:34,"700 Pine St, San Francisco, CA 94016",11,700.0, San Francisco,10,"iPhone,Lightning Charging Cable"
278840,Bose SoundSport Headphones,1.0,99.99,11/23/19 20:46,"490 Walnut St, Los Angeles, CA 90001",11,99.99, Los Angeles,20,"Bose SoundSport Headphones,27in FHD Monitor"
278857,USB-C Charging Cable,1.0,11.95,11/30/19 15:37,"150 Wilson St, Los Angeles, CA 90001",11,11.95, Los Angeles,15,"USB-C Charging Cable,AAA Batteries (4-pack)"
278940,Apple Airpods Headphones,1.0,150.0,11/23/19 10:51,"140 2nd St, Boston, MA 02215",11,150.0, Boston,10,"Apple Airpods Headphones,AAA Batteries (4-pack)"
278944,Google Phone,1.0,600.0,11/14/19 22:19,"600 Willow St, Portland, OR 97035",11,600.0, Portland,22,"Google Phone,Bose SoundSport Headphones"
278946,iPhone,1.0,700.0,11/19/19 18:25,"361 9th St, San Francisco, CA 94016",11,700.0, San Francisco,18,"iPhone,Lightning Charging Cable,Wired Headphones"
278970,Google Phone,1.0,600.0,11/21/19 13:36,"21 14th St, San Francisco, CA 94016",11,600.0, San Francisco,13,"Google Phone,USB-C Charging Cable"
279005,Lightning Charging Cable,1.0,14.95,11/16/19 07:05,"222 12th St, Boston, MA 02215",11,14.95, Boston,7,"Lightning Charging Cable,Wired Headphones"
279068,Flatscreen TV,1.0,300.0,11/01/19 16:07,"97 Hill St, Austin, TX 73301",11,300.0, Austin,16,"Flatscreen TV,AAA Batteries (4-pack)"
279069,USB-C Charging Cable,1.0,11.95,11/14/19 16:30,"593 South St, San Francisco, CA 94016",11,11.95, San Francisco,16,"USB-C Charging Cable,USB-C Charging Cable"
279162,iPhone,1.0,700.0,11/27/19 18:22,"776 Lake St, Austin, TX 73301",11,700.0, Austin,18,"iPhone,Lightning Charging Cable"
279175,AAA Batteries (4-pack),1.0,2.99,11/18/19 17:09,"194 South St, Portland, OR 97035",11,2.99, Portland,17,"AAA Batteries (4-pack),Apple Airpods Headphones"
279258,iPhone,1.0,700.0,11/25/19 12:31,"638 Ridge St, Los Angeles, CA 90001",11,700.0, Los Angeles,12,"iPhone,Apple Airpods Headphones,Wired Headphones"
279274,AA Batteries (4-pack),1.0,3.84,11/27/19 17:15,"22 Church St, Dallas, TX 75001",11,3.84, Dallas,17,"AA Batteries (4-pack),Wired Headphones"
279288,34in Ultrawide Monitor,1.0,379.99,11/24/19 14:25,"984 10th St, Atlanta, GA 30301",11,379.99, Atlanta,14,"34in Ultrawide Monitor,Wired Headphones"
279316,Wired Headphones,1.0,11.99,11/21/19 10:56,"644 Main St, San Francisco, CA 94016",11,11.99, San Francisco,10,"Wired Headphones,Vareebadd Phone"
279320,Vareebadd Phone,1.0,400.0,11/25/19 08:24,"58 West St, New York City, NY 10001",11,400.0, New York City,8,"Vareebadd Phone,USB-C Charging Cable"
